"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight"
"17",-1.14049196491442,NA,NA,NA,NA,0.0215084785124969,NA,NA,4,-125.554435350083,259.553315144611,0,0.215428361662015
"81",-1.0468300912813,NA,NA,NA,NA,0.0203757887447984,NA,"+",5,-125.111408032042,260.896973367455,1.34365822284383,0.110035089939484
"1",-0.601947991277494,NA,NA,NA,NA,NA,NA,NA,3,-127.485198379697,261.23413302313,1.68081787851861,0.0929646660985203
"65",-0.519368243041351,NA,NA,NA,NA,NA,NA,"+",4,-126.450908839573,261.34626212359,1.79294697897888,0.0878960561573578
"19",-1.33143766569949,NA,"+",NA,NA,0.0223729968416242,NA,NA,9,-121.135824925686,262.389296910196,2.83598176558479,0.0521767786781032
"33",-0.796103483330412,NA,NA,NA,NA,NA,"+",NA,4,-127.058693435696,262.561831315836,3.00851617122436,0.0478643199285812
"49",-1.13519325825054,NA,NA,NA,NA,0.0215938086685617,"+",NA,5,-125.990703986424,262.655565276218,3.10225013160675,0.0456728194237446
"97",-0.689691787215169,NA,NA,NA,NA,NA,"+","+",5,-126.223539087029,263.121235477428,3.56792033281704,0.0361858536528673
"66",-0.369745451454805,"+",NA,NA,NA,NA,NA,"+",6,-125.213322739533,263.38119093361,3.82787578899911,0.0317753404461518
"18",-1.04806394197291,"+",NA,NA,NA,0.0208478963185336,NA,NA,6,-125.452253855289,263.859053165123,4.30573802051202,0.0250220995287926
"113",-1.03460515747449,NA,NA,NA,NA,0.0207320966610272,"+","+",6,-125.543028830272,264.040603115089,4.48728797047767,0.0228507614481641
"3",-0.48426979504823,NA,"+",NA,NA,NA,NA,NA,8,-123.26076882186,264.195956248371,4.64264110375944,0.021142978697851
"2",-0.330450984304461,"+",NA,NA,NA,NA,NA,NA,5,-126.768234660791,264.210626624953,4.65731148034172,0.0209884583787143
"82",-1.03012364897273,"+",NA,NA,NA,0.0194094968644486,NA,"+",7,-124.548724587406,264.384805496651,4.83149035203951,0.019237918431909
"83",-1.18932884520686,NA,"+",NA,NA,0.0212153374865742,NA,"+",10,-120.908113552685,264.435274724417,4.88195957980531,0.0187585310053271
"67",-0.325683599944081,NA,"+",NA,NA,NA,NA,"+",9,-122.284357427812,264.686361914447,5.13304676983603,0.0165453490949615
"98",-0.590264796492331,"+",NA,NA,NA,NA,"+","+",7,-124.767282517911,264.821921357661,5.26860621305002,0.0154610710457652
"34",-0.56666238664755,"+",NA,NA,NA,NA,"+",NA,6,-126.301244602561,265.557034659668,6.00371951505667,0.0107056181911843
"51",-1.32585259666097,NA,"+",NA,NA,0.0238659776842946,"+",NA,10,-121.482804502947,265.584656624942,6.03134148033041,0.0105587794121772
"35",-0.64024914856193,NA,"+",NA,NA,NA,"+",NA,9,-123.090207377355,266.298061813533,6.74474666892189,0.0073909412235352
"25",-0.710407443272377,NA,NA,NA,"+",0.0222464264632657,NA,NA,8,-124.428941679819,266.532301964289,6.97898681967752,0.00657408244317008
"89",-0.206441100811986,NA,NA,NA,"+",0.0212370663787726,NA,"+",9,-123.350736293364,266.819119645552,7.26580450094025,0.00569578356303215
"21",-0.860402300434223,NA,NA,-0.00661628931733002,NA,0.0240290915511755,NA,NA,5,-128.138949615665,266.952056534702,7.39874139009021,0.00532950162870888
"50",-1.04575755353053,"+",NA,NA,NA,0.0208876718078989,"+",NA,7,-125.842700661276,266.972757644391,7.4194424997799,0.00527462283274673
"99",-0.474307607356215,NA,"+",NA,NA,NA,"+","+",10,-122.234731607652,267.088510834351,7.53519568973979,0.00497801183261742
"20",-1.32165081610459,"+","+",NA,NA,0.0221456489840449,NA,NA,11,-121.191112222796,267.562947337158,8.00963219254629,0.00392675085516978
"114",-1.0341429489171,"+",NA,NA,NA,0.0192889722301995,"+","+",8,-124.95278925254,267.579997109731,8.02668196511985,0.00389341803178545
"115",-1.18472794529855,NA,"+",NA,NA,0.0227046236397024,"+","+",11,-121.258651563506,267.698026018577,8.14471087396612,0.00367029848129175
"73",0.15512543714448,NA,NA,NA,"+",NA,NA,"+",8,-125.070890348953,267.816199302557,8.26288415794613,0.00345971545352288
"106",0.430093006221972,"+",NA,NA,"+",NA,"+","+",11,-121.345317583825,267.871358059216,8.31804291460497,0.00336560240707131
"74",0.571053623906457,"+",NA,NA,"+",NA,NA,"+",10,-122.887002927266,268.39305347358,8.83973832896834,0.00259285416017851
"9",-0.427837747061698,NA,NA,NA,"+",NA,NA,NA,7,-126.574658998307,268.436674318453,8.88335917384131,0.00253691515971631
"68",-0.414853135608845,"+","+",NA,NA,NA,NA,"+",11,-121.660946135485,268.502615162536,8.94930001792454,0.00245463584147455
"41",-0.508590350900252,NA,NA,NA,"+",NA,"+",NA,8,-125.430171535012,268.534761674675,8.98144653006392,0.00241549723606666
"4",-0.44747718951182,"+","+",NA,NA,NA,NA,NA,10,-122.993723741243,268.606495101533,9.05317995692133,0.00233039655257408
"105",0.0281821548592533,NA,NA,NA,"+",NA,"+","+",9,-124.28635031538,268.690347689584,9.13703254497233,0.00223471153653514
"90",0.0083834681521154,"+",NA,NA,"+",0.0201063444039728,NA,"+",11,-121.785230709452,268.751184310471,9.19786916585986,0.00216775884354843
"27",-0.460259676131168,NA,"+",NA,"+",0.0232955779680598,NA,NA,13,-119.198649907443,268.891126975379,9.33781183076781,0.00202126289258747
"23",-1.04746372756648,NA,"+",-0.00723497289630421,NA,0.0253102184203857,NA,NA,10,-123.155852379829,268.930752378705,9.37743723409392,0.0019816103232805
"85",-0.808623385409376,NA,NA,-0.00611484513802054,NA,0.0229563956128557,NA,"+",6,-128.062099883497,269.07874522154,9.52543007692901,0.00184027200100759
"84",-1.24355363312863,"+","+",NA,NA,0.0207283774414754,NA,"+",12,-120.712793845673,269.230465740127,9.67715059551603,0.00170583227256371
"91",0.0503279648276427,NA,"+",NA,"+",0.0212883297131648,NA,"+",14,-118.117341005954,269.484682011908,9.93136686729667,0.0015022214694104
"57",-0.713532373274082,NA,NA,NA,"+",0.0208445051196217,"+",NA,9,-124.7466197236,269.610886506023,10.0575713614113,0.00141035683253019
"75",0.894904632583938,NA,"+",NA,"+",NA,NA,"+",13,-119.577620337665,269.649067835823,10.0957526912118,0.00138368755989497
"53",-0.847106154185058,NA,NA,-0.00665082219529445,NA,0.0243519604827082,"+",NA,6,-128.563482561545,270.081510577636,10.5281954330246,0.00111463913778078
"121",-0.214172397428774,NA,NA,NA,"+",0.0204797150959505,"+","+",10,-123.742327938297,270.103703495642,10.5503883510304,0.00110233896070194
"52",-1.30808435211909,"+","+",NA,NA,0.0237602798791925,"+",NA,12,-121.477569684036,270.760017416852,11.206702272241,0.000793959592311128
"100",-0.590672389076126,"+","+",NA,NA,NA,"+","+",12,-121.485255177778,270.775388404337,11.2220732597256,0.000787881009209148
"36",-0.623759327793832,"+","+",NA,NA,NA,"+",NA,11,-122.821423323296,270.823569538158,11.2702543935462,0.000769127309642062
"22",-0.902055752320388,"+",NA,-0.00698082177220649,NA,0.023794782238309,NA,NA,7,-127.843617227331,270.9745907765,11.421275631889,0.000713188590919124
"26",-0.673885518716357,"+",NA,NA,"+",0.0216703332407822,NA,NA,10,-124.21122231724,271.041492253527,11.4881771089159,0.000689726505598646
"5",-0.373369122941633,NA,NA,-0.0043779529510598,NA,NA,NA,NA,4,-131.405257999634,271.254960443713,11.7016452991012,0.000619901785635878
"42",-0.325991266681797,"+",NA,NA,"+",NA,"+",NA,10,-124.417102429075,271.453252477197,11.8999373325853,0.000561389543773331
"11",0.203795275494543,NA,"+",NA,"+",NA,NA,NA,12,-121.860535159118,271.525948367016,11.9726332224048,0.000541350581311421
"107",0.740020412031908,NA,"+",NA,"+",NA,"+","+",14,-119.20771251163,271.66542502326,12.1121098786481,0.000504884033086791
"122",-0.00286937894726674,"+",NA,NA,"+",0.0179693086327752,"+","+",12,-121.947063773175,271.69900559513,12.1456904505184,0.000496477656032875
"10",-0.174398312708469,"+",NA,NA,"+",NA,NA,NA,9,-125.796937807135,271.711522673093,12.1582075284819,0.000493380134359741
"87",-1.00359873563322,NA,"+",-0.00692013139181727,NA,0.0247123510420981,NA,"+",11,-123.348654176966,271.878031245499,12.3247161008873,0.000453967520318367
"69",-0.331759937438053,NA,NA,-0.00374396482996058,NA,NA,NA,"+",5,-130.625279915052,271.924717133475,12.3714019888637,0.000443493307012524
"76",0.886496202650617,"+","+",NA,"+",NA,NA,"+",15,-117.937516312734,271.950981992557,12.397666847946,0.000437707238132722
"55",-1.02887274470196,NA,"+",-0.00730798923951619,NA,0.027092339336196,"+",NA,11,-123.440483427439,272.061689746444,12.5083746018328,0.000414136820638105
"86",-0.907078795100928,"+",NA,-0.00648180347225029,NA,0.0224215780691828,NA,"+",8,-127.281853389612,272.238125383874,12.684810239263,0.000379167699134485
"117",-0.791822178521435,NA,NA,-0.00614722527601882,NA,0.0234172677097825,"+","+",7,-128.480329461771,272.248015245382,12.6947001007706,0.000377297369255209
"37",-0.565747291655806,NA,NA,-0.0045509076926654,NA,NA,"+",NA,5,-130.90879471314,272.491746729652,12.9384315850403,0.000334008991160527
"59",-0.461744262825446,NA,"+",NA,"+",0.0235563105671022,"+",NA,14,-119.633422622996,272.516845245992,12.9635301013805,0.000329843616942342
"116",-1.23634435417753,"+","+",NA,NA,0.0220186764333735,"+","+",13,-121.04195870463,272.577744569755,13.0244294251432,0.000319951362548283
"43",0.0983278079899316,NA,"+",NA,"+",NA,"+",NA,13,-121.13352760459,272.760882369675,13.2075672250634,0.000291955120122571
"92",0.0892379755590479,"+","+",NA,"+",0.0203481471838783,NA,"+",16,-117.017215859265,273.008790692889,13.4554755482781,0.000257919089884337
"108",0.71341517949164,"+","+",NA,"+",NA,"+","+",16,-117.01813241468,273.01062380372,13.4573086591084,0.000257682801048278
"123",0.0555679675758468,NA,"+",NA,"+",0.0217905154637329,"+","+",15,-118.541917898579,273.159785164246,13.6064700196346,0.000239163805292309
"101",-0.500430321151369,NA,NA,-0.0039959676212725,NA,NA,"+","+",6,-130.30153112842,273.557607711385,14.0042925667735,0.000196024062860248
"29",-0.4218254249827,NA,NA,-0.00707041991808317,"+",0.0246529280957697,NA,NA,9,-126.769448522209,273.656544103242,14.1032289586304,0.00018656304511304
"24",-1.19104378690203,"+","+",-0.00774647500748143,NA,0.0254101914727422,NA,NA,12,-122.933525424284,273.671928897348,14.1186137527363,0.000185133433713405
"7",-0.200950918854957,NA,"+",-0.00504892655910438,NA,NA,NA,NA,9,-126.853129768487,273.823906595798,14.2705914511868,0.000171586580054209
"70",-0.245760516316268,"+",NA,-0.00397094632919138,NA,NA,NA,"+",7,-129.306694894134,273.900746110108,14.3474309654964,0.000165119296546614
"58",-0.695592700616669,"+",NA,NA,"+",0.0198517119993284,"+",NA,11,-124.410019636111,274.000762163787,14.4474470191761,0.000157065072686752
"54",-0.897366081069122,"+",NA,-0.00700027311320497,NA,0.0238826729677455,"+",NA,8,-128.232733296651,274.139885197952,14.5865700533411,0.000146510731466631
"6",-0.184535401091854,"+",NA,-0.00454787606112636,NA,NA,NA,NA,6,-130.632414216286,274.219373887117,14.6660587425057,0.000140801955697426
"28",-0.481579642625075,"+","+",NA,"+",0.0230718857293099,NA,NA,15,-119.154688339093,274.385326045275,14.8320109006635,0.000129590341340218
"31",-0.128212964333211,NA,"+",-0.00794075904414478,"+",0.0264216112950299,NA,NA,14,-120.706443902021,274.662887804041,15.1095726594301,0.000112797860880835
"93",-0.0281626546837474,NA,NA,-0.0064271919566552,"+",0.0236762109943805,NA,"+",10,-126.132182828282,274.883413275611,15.3300981309997,0.000101021628681519
"119",-0.98719786397786,NA,"+",-0.0070061758665975,NA,0.0265052453214941,"+","+",12,-123.633485156257,275.071848361294,15.5185332166822,9.19382445196977e-05
"102",-0.480599644835503,"+",NA,-0.00436527508203693,NA,NA,"+","+",8,-128.701769111258,275.077956827167,15.5246416825552,9.16578720844749e-05
"71",-0.122932011649006,NA,"+",-0.00415938636483885,NA,NA,NA,"+",10,-126.308298888275,275.235645395597,15.682330250986,8.47087226540191e-05
"38",-0.434105457123452,"+",NA,-0.00486975831196114,NA,NA,"+",NA,7,-130.028627281137,275.344610884112,15.7912957395008,8.02170298841759e-05
"118",-0.910846223434421,"+",NA,-0.00650594146033428,NA,0.0223121847674199,"+","+",9,-127.681847442251,275.481341943326,15.9280267987144,7.4916211229855e-05
"39",-0.362626711563986,NA,"+",-0.00515765895033281,NA,NA,"+",NA,10,-126.638921320013,275.896890259074,16.3435751144624,6.08612173994294e-05
"12",0.226774245916105,"+","+",NA,"+",NA,NA,NA,14,-121.448960234009,276.147920468019,16.5946053234073,5.36821767901284e-05
"88",-1.1550882494478,"+","+",-0.00730054858569871,NA,0.0244365547380403,NA,"+",13,-122.912007249362,276.317841659217,16.7645265146058,4.93096818153253e-05
"94",0.0030838946067212,"+",NA,-0.00677728018870731,"+",0.023079481038846,NA,"+",12,-124.329936510467,276.464751069714,16.9114359251024,4.58174829566145e-05
"124",0.0924168615916012,"+","+",NA,"+",0.0195459235196393,"+","+",17,-117.38196415948,276.711980267012,17.1586651224011,4.04898426372246e-05
"95",0.203477360974116,NA,"+",-0.00719614472911683,"+",0.024771700442864,NA,"+",15,-120.330085009138,276.736119385364,17.1828042407523,4.00040854200878e-05
"61",-0.426883076489936,NA,NA,-0.0070728779501246,"+",0.0235819486822619,"+",NA,10,-127.114528256366,276.848104131779,17.2947889871681,3.78257168479743e-05
"56",-1.16365804077494,"+","+",-0.00774967356384746,NA,0.0269532873771732,"+",NA,13,-123.210074835507,276.913976831507,17.3606616868956,3.66001691261241e-05
"44",0.0782292355794748,"+","+",NA,"+",NA,"+",NA,15,-120.608474473685,277.292898314458,17.7395831698468,3.02831702180286e-05
"30",-0.568674815077664,"+",NA,-0.00766599522328343,"+",0.0245876867450148,NA,NA,11,-126.174161651723,277.529046195012,17.9757310504008,2.69105439867784e-05
"103",-0.275824784778987,NA,"+",-0.00433182044008432,NA,NA,"+","+",11,-126.191516897198,277.563756685963,18.0104415413515,2.64475343347559e-05
"110",0.432610026978745,"+",NA,-0.00493447010306563,"+",NA,"+","+",12,-125.042452457619,277.889782964018,18.3364678194064,2.24692968994529e-05
"60",-0.48239071387363,"+","+",NA,"+",0.0230942140772594,"+",NA,16,-119.534304109309,278.042967192977,18.4896520483655,2.08125814364203e-05
"8",-0.271510770784987,"+","+",-0.00544156093939545,NA,NA,NA,NA,11,-126.437660402666,278.056043696898,18.5027285522863,2.06769474229024e-05
"13",-0.198934192810702,NA,NA,-0.00512141754214661,"+",NA,NA,NA,8,-130.206188334399,278.08679527345,18.5334801288386,2.03614547469966e-05
"45",-0.28340691570792,NA,NA,-0.00521326987157711,"+",NA,"+",NA,9,-129.029334062731,278.176315184287,18.6230000396752,1.94701726131235e-05
"125",-0.0338699819844493,NA,NA,-0.00646205343341439,"+",0.0229643369571367,"+","+",11,-126.514292491667,278.209307874899,18.6559927302879,1.91516206182891e-05
"77",0.28841961094301,NA,NA,-0.00429274295037323,"+",NA,NA,"+",9,-129.058370873984,278.234388806791,18.68107366218,1.89129500202036e-05
"63",-0.125615835343539,NA,"+",-0.00799486877448792,"+",0.0270930026954733,"+",NA,15,-121.118324541496,278.312598450082,18.7592833054702,1.81876365360756e-05
"72",-0.271608551425183,"+","+",-0.00457224067323027,NA,NA,NA,"+",12,-125.521984135227,278.848846319235,19.2955311746236,1.39101406520884e-05
"78",0.574006873645465,"+",NA,-0.00436688342299726,"+",NA,NA,"+",11,-126.848008906053,278.876740703673,19.3234255590618,1.37174799079226e-05
"109",0.176550174890189,NA,NA,-0.00460355914725761,"+",NA,"+","+",10,-128.141138067398,278.901323753843,19.3480086092317,1.3549903156264e-05
"32",-0.332721408676471,"+","+",-0.0086776498148698,"+",0.0266006830239277,NA,NA,16,-120.140465425493,279.255289825344,19.701974680733,1.13520275235543e-05
"126",-0.0160291618617862,"+",NA,-0.00686256943260182,"+",0.0209632437104082,"+","+",13,-124.448348725923,279.390524612341,19.8372094677294,1.06098092157322e-05
"96",0.105188620828635,"+","+",-0.00766565353250892,"+",0.0240909033749178,NA,"+",17,-118.849564767562,279.647181483176,20.093866338565,9.33201102422586e-06
"120",-1.13491933675463,"+","+",-0.0073388792757783,NA,0.02585909057072,"+","+",14,-123.213995871069,279.677991742138,20.1246765975271,9.18935184890101e-06
"40",-0.467809912427507,"+","+",-0.00569685997238162,NA,NA,"+",NA,12,-126.144207962695,280.09329397417,20.5399788295587,7.46626063891416e-06
"79",1.069476177285,NA,"+",-0.004587440412337,"+",NA,NA,"+",14,-123.431184160581,280.112368321163,20.5590531765513,7.39539209579696e-06
"127",0.209373127270947,NA,"+",-0.00724138531284047,"+",0.025469913241881,"+","+",16,-120.733263483447,280.440885941253,20.8875707966412,6.27515575645889e-06
"62",-0.600352584694927,"+",NA,-0.00772711951903857,"+",0.0228797418967749,"+",NA,12,-126.357383659057,280.519645366895,20.9663302222832,6.03284431547615e-06
"46",-0.25713645309582,"+",NA,-0.00586204871618636,"+",NA,"+",NA,11,-127.707849923612,280.596422738791,21.0431075941795,5.80564028348709e-06
"15",0.507534230358884,NA,"+",-0.00578079520799312,"+",NA,NA,NA,13,-125.127191813896,280.748210788285,21.194895643674,5.38133176196635e-06
"104",-0.46470164555224,"+","+",-0.00485377296899198,NA,NA,"+","+",13,-125.225387398291,280.944601957076,21.3912868124644,4.87802438396766e-06
"14",-0.0972582102140598,"+",NA,-0.00548298214995841,"+",NA,NA,NA,10,-129.280803449527,281.180654518102,21.6273393734907,4.3349670879334e-06
"111",0.925777372794716,NA,"+",-0.00480777908633434,"+",NA,"+","+",15,-122.962539144135,282.001027655359,22.4477125107477,2.87636530264692e-06
"47",0.395234155234177,NA,"+",-0.00582323259116365,"+",NA,"+",NA,14,-124.395709766973,282.041419533947,22.4881043893351,2.81885707462124e-06
"80",0.954059136437154,"+","+",-0.00512633155128149,"+",NA,NA,"+",16,-121.538774166771,282.051907307901,22.4985921632893,2.80411399602046e-06
"112",0.784126402449838,"+","+",-0.00551800281084403,"+",NA,"+","+",17,-120.403939782576,282.755931513204,23.2026163685924,1.97205376593285e-06
"64",-0.332585478823316,"+","+",-0.00869925302361548,"+",0.026612440750263,"+",NA,17,-120.529448725703,283.006949399458,23.4536342548465,1.73944583584645e-06
"128",0.106161038829334,"+","+",-0.00768460456299188,"+",0.0234294258700372,"+","+",18,-119.222364886381,283.444729772761,23.89141462815,1.39748807190583e-06
"16",0.366128310316055,"+","+",-0.00641749127177376,"+",NA,NA,NA,15,-124.41978866293,284.915526692948,25.3622115483362,6.69836203153111e-07
"48",0.212017303145299,"+","+",-0.00670691438244131,"+",NA,"+",NA,16,-123.407130380243,285.788619734845,26.2353045902339,4.3289131359976e-07
